smiles	logP	logS	logP-err	logS-err	logP-warn	logS-warn
O=C1NC(=Nc2ccccc2)Nc3c1ncn3CCO	0.73	-2.13	0.30	1.01			O=c1[nH]c(=Nc2ccccc2)[nH]c2c1ncn2CCO
CCCCON1C(=O)NC(C)C(Br)C1=O	1.11	-2.21	0.65	2.05			CCCCOn1c(=O)[nH]c(C)c(Br)c1=O
COc1ccnc(C#N)n1	0.66	-1.19	0.40	0.92			COc1ccnc(C#N)n1
CCOC(=O)c1cc2ccc(CC)cc2nn1	2.55	-3.33	0.70	1.10			CCOC(=O)c1cc2ccc(CC)cc2nn1
NC(=O)NCCCN1NC(c2ccccc2)CCC1=O	0.15	-2.78	0.58	1.09			NC(=O)NCCCn1nc(-c2ccccc2)ccc1=O
CC(=O)Nc1cccc(Br)c1	1.87	-2.94	0.30	0.60			CC(=O)Nc1cccc(Br)c1
CC(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(C)(C)C	-0.41	-2.79	0.37	1.29			CC(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(C)(C)C
CN(C)CCNCCN	-0.94	0.50	0.30	1.15			CN(C)CCNCCN
CC(Br)C(=O)O	1.05	-0.37	0.40	1.13			CC(Br)C(=O)O
CC(=O)Nc1cccc(C)c1C	1.61	-2.49	0.30	1.01			CC(=O)Nc1cccc(C)c1C
CCCOc1ccc(CC(=O)O)cc1	2.61	-2.68	0.36	0.88			CCCOc1ccc(CC(=O)O)cc1
O=C(O)C1CCC2CCCCCC12	3.13	-2.68	0.76	1.05			O=C(O)c1ccc2cccccc1-2
O=C1CC(c2ccccc2)Oc3cc(O)ccc13	3.27	-3.33	0.47	1.08			O=c1cc(-c2ccccc2)oc2cc(O)ccc12
O=C(O)Cc1ccc(OCc2ccccc2)c(Cl)c1	3.46	-4.44	0.32	0.97			O=C(O)Cc1ccc(OCc2ccccc2)c(Cl)c1
COC13C(=COC(N)=O)c4c(O)c(N=C5CC(C)NS5)c(C)c(O)c4N1CC2NC23	0.26	-2.79	1.20	2.39	logP	logS	COC12C(=COC(N)=O)c3c(O)c(N=c4cc(C)[nH]s4)c(C)c(O)c3N1CC1NC12
CC(C)CN1CCOCC1	1.17	0.01	0.66	0.98			CC(C)CN1CCOCC1
CCOC(=O)C1CNc3c(c(C)nn3c4ccccc4)C1=Nc2ccc(O)c(CN(CC)CC)c2	4.69	-4.00	0.73	0.72			CCOC(=O)c1c[nH]c2c(c(C)nn2-c2ccccc2)c1=Nc1ccc(O)c(CN(CC)CC)c1
OCc1ccccc1O	0.40	-0.26	0.31	0.67			OCc1ccccc1O
NC(=O)OCCc1ccccc1	1.37	-2.02	0.37	0.83			NC(=O)OCCc1ccccc1
CCCCS(=O)c1sc(C#N)c(Cl)c1C#N	3.27	-3.28	0.35	1.01			CCCCS(=O)c1sc(C#N)c(Cl)c1C#N
CCC(CC)C(=O)NS(=O)(=O)c1ccccc1N(=O)=O	2.31	-4.38	0.34	0.99			CCC(CC)C(=O)NS(=O)(=O)c1ccccc1[N+](=O)[O-]
O=C(O)Cc1ccc(OCCc2ccccc2)c(Cl)c1	3.82	-4.84	0.32	1.01			O=C(O)Cc1ccc(OCCc2ccccc2)c(Cl)c1
CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(=O)CC12C	2.52	-4.02	0.32	0.61			CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(=O)CC21C
Clc1ccc(Oc2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl	6.82	-7.75	0.30	1.06			Clc1ccc(Oc2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl
CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13	5.18	-4.88	0.38	0.86			CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
C1=CCCC=CCCC=CCC1	5.07	-4.78	0.46	1.25			C1=CCCC=CCCC=CCC1
COCN1C(=O)CN=C(c2ccccc2)c3cc(N(=O)=O)ccc13	1.96	-3.93	0.53	0.71			COCN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21
CCOC(=O)C(=Cc1ccc(OC)cc1)C(=O)OCC	3.11	-3.76	0.30	1.34			CCOC(=O)C(=Cc1ccc(OC)cc1)C(=O)OCC
CC(=O)Nc1cc(C)c(O)c(C)c1C	0.92	-2.21	0.30	1.41			CC(=O)Nc1cc(C)c(O)c(C)c1C
CCOC(=O)C(Cc1ccccc1)=NC=O	1.85	-3.65	0.63	0.78			CCOC(=O)C(Cc1ccccc1)=NC=O
NS(=O)(=O)c1ccc(SCCCCO)s1	1.22	-2.91	0.35	1.35			NS(=O)(=O)c1ccc(SCCCCO)s1
COC1C(Cl)C(Cl)C(Cl)C(Cl)C1SC	3.27	-4.70	0.50	1.60			COC1C(Cl)C(Cl)C(Cl)C(Cl)C1SC
Cc1cnc(CCOCCCS(=O)(=O)CCNCCc2ccc(O)c3NC(=O)Sc23)s1	1.90	-4.25	0.74	1.39			Cc1cnc(CCOCCCS(=O)(=O)CCNCCc2ccc(O)c3[nH]c(=O)sc23)s1
Nc1ccc(S(=O)(=O)N=C2CCC(Cl)CN2)cc1	1.06	-3.06	0.69	2.39		logS	Nc1ccc(S(=O)(=O)N=c2ccc(Cl)c[nH]2)cc1
CCOc1ccc(OCC(OC(=O)n2ccnc2)C(C)(C)C)cc1	3.82	-4.17	0.32	0.88			CCOc1ccc(OCC(OC(=O)n2ccnc2)C(C)(C)C)cc1
Nc1cccc(Cl)c1	1.93	-1.42	0.31	0.60			Nc1cccc(Cl)c1
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)C(Cl)C3C1(Cl)C2(Cl)Cl	6.27	-6.89	0.39	0.65			ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)C(Cl)C3C1(Cl)C2(Cl)Cl
O=C(O)CCC1=NS(=O)(=O)c2cc(Cl)cc(Cl)c2N1	1.37	-3.27	0.30	2.39		logS	O=C(O)CCC1=NS(=O)(=O)c2cc(Cl)cc(Cl)c2N1
O=C1Nc2c(O)ccc(CCNCCS(=O)(=O)CCCOCCCc3ccccc3)c2S1	2.90	-4.93	0.76	1.20			O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCCc3ccccc3)c2s1
CC(C)Oc1ccc(N(=O)=O)cc1	2.98	-2.95	0.51	0.89			CC(C)Oc1ccc([N+](=O)[O-])cc1
OC(Cn1ccnc1)(c2ccc(F)cc2)c3ccc(Br)cc3	3.48	-4.64	0.41	0.96			OC(Cn1ccnc1)(c1ccc(F)cc1)c1ccc(Br)cc1
O=C(O)C1c2ccccc2Cc3ccccc13	3.15	-3.71	0.57	1.45			O=C(O)C1c2ccccc2Cc2ccccc21
Cc1cccc(C)c1NN=C(C#N)C#N	3.08	-3.59	0.30	2.39		logS	Cc1cccc(C)c1NN=C(C#N)C#N
CCCCC#N	1.10	-0.62	0.32	0.66			CCCCC#N
CCC(=O)OC1(C(=O)CO)C(C)CC2C3CC(F)=C4CC(=O)C(Cl)=CC4(C)C3(F)C(O)CC12C	3.07	-4.66	0.39	0.96			CCC(=O)OC1(C(=O)CO)C(C)CC2C3CC(F)=C4CC(=O)C(Cl)=CC4(C)C3(F)C(O)CC21C
CCCCC(=O)C(O)O	-0.06	0.21	0.72	0.82			CCCCC(=O)C(O)O
CC(CCc1ccccc1)NC(=O)C(=O)NCC2COc3ccccc3O2	2.72	-4.92	0.74	1.27			CC(CCc1ccccc1)NC(=O)C(=O)NCC1COc2ccccc2O1
CN(Cc1cccc(N(=O)=O)c1)N=O	0.99	-2.59	0.31	1.63			CN(Cc1cccc([N+](=O)[O-])c1)N=O
COC(=O)c1cccnn1	-0.11	-0.11	0.47	0.82			COC(=O)c1cccnn1
CC(C)(C)C1CCC(c2ccccc2)(N3CCCCC3)CC1	6.80	-6.10	0.55	1.41			CC(C)(C)C1CCC(c2ccccc2)(N2CCCCC2)CC1
CCOc1ccc(NC(=O)OC(C)COC)cc1OCC	2.58	-3.14	0.41	1.22			CCOc1ccc(NC(=O)OC(C)COC)cc1OCC
Fc1cncc(F)n1	0.68	-0.85	0.46	1.23			Fc1cncc(F)n1
CC(C(=O)O)c1ccc(c2nccs2)cc1	2.78	-3.42	0.38	1.32			CC(C(=O)O)c1ccc(-c2nccs2)cc1
CCc1ccc(CO)cc1	2.19	-1.71	0.43	0.91			CCc1ccc(CO)cc1
Clc1cc2oc3cc(Cl)c(Cl)c(Cl)c3c2cc1Cl	6.65	-5.24	0.30	0.72			Clc1cc2oc3cc(Cl)c(Cl)c(Cl)c3c2cc1Cl
O=C1CC(Oc2ccc(C(=O)C=Cc3ccccc3)cc2)N1	2.64	-4.77	0.63	1.42			O=C1CC(Oc2ccc(C(=O)C=Cc3ccccc3)cc2)N1
CN=C1Nc2c3cccnc3ccc2N1C	1.83	-2.90	0.77	2.39		logS	CN=c1[nH]c2c3cccnc3ccc2n1C
CCCCCOC(=O)Nc1ccccc1	3.62	-3.06	0.36	1.11			CCCCCOC(=O)Nc1ccccc1
CN1C(=O)CN=C(c2ccccc2)c3cc(N(=O)=O)ccc13	2.08	-4.05	0.39	0.86			CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21
CCOC(=O)CCN1C(=O)C=CC1=O	0.52	-0.77	0.35	1.40			CCOC(=O)CCN1C(=O)C=CC1=O
CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O	3.11	-3.48	0.52	0.72			CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O
Cn1cc(C(=O)O)c2ccccc12	1.58	-2.23	0.52	0.93			Cn1cc(C(=O)O)c2ccccc21
CCCCCCCc1nn[nH]n1	2.63	-1.79	0.81	1.18			CCCCCCCc1nn[nH]n1
COc1cncnc1	0.22	0.49	0.45	0.77			COc1cncnc1
CON(C)C(=O)Nc1cccc(CO)c1	0.84	-1.58	0.59	0.87			CON(C)C(=O)Nc1cccc(CO)c1
COc1ccc(OCC(OC(=O)n2ccnc2)C(C)(C)C)cc1	3.44	-3.88	0.36	0.85			COc1ccc(OCC(OC(=O)n2ccnc2)C(C)(C)C)cc1
CC(C)CC(N)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)O	-1.69	-2.28	0.74	1.56			CC(C)CC(N)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)O
CC(=O)N=C1Nc2cc3SC(=NC(C)=O)Nc3cc2S1	2.25	-3.03	0.84	1.92			CC(=O)N=c1[nH]c2cc3sc(=NC(C)=O)[nH]c3cc2s1
CCC(C(=O)N1CCCN(C(=O)C(CC)c3ccccc3)CC1)c2ccccc2	3.97	-4.59	0.61	0.92			CCC(C(=O)N1CCCN(C(=O)C(CC)c2ccccc2)CC1)c1ccccc1
NC(=O)CI	-0.03	-0.77	0.42	0.75			NC(=O)CI
CNc1ccc(c2nc3ccc(OC)cc3s2)cc1	4.14	-4.45	0.78	0.89			CNc1ccc(-c2nc3ccc(OC)cc3s2)cc1
CC1=NCCN1	0.10	-0.24	0.48	0.99			CC1=NCCN1
CCc1ncc(c3ccccc3)nc1c2ccccc2	4.40	-4.70	0.39	0.92			CCc1ncc(-c2ccccc2)nc1-c1ccccc1
NC(=O)C(Cl)Cl	-0.06	-0.30	0.78	1.08			NC(=O)C(Cl)Cl
O=C1C=C(Cl)C(=O)c2ccccc12	2.27	-2.84	0.51	1.30			O=C1C=C(Cl)C(=O)c2ccccc21
CNC13CCCCC1COc2ccccc23	3.02	-3.28	0.40	1.04			CNC12CCCCC1COc1ccccc12
COc1ccc(N2C(=O)C=C3C=CC=CC3C2=O)cc1	2.06	-3.26	0.70	1.33			COc1ccc(N2C(=O)C=C3C=CC=CC3C2=O)cc1
Cc1cc(C)n2nc(SCC(=O)NCCNC(=O)CSc3nc4nc(C)cc(C)n4n3)nc2n1	1.90	-4.23	0.71	2.39		logS	Cc1cc(C)n2nc(SCC(=O)NCCNC(=O)CSc3nc4nc(C)cc(C)n4n3)nc2n1
O=C(O)C1c2ccccc2Oc3ccccc13	3.15	-2.73	0.50	1.20			O=C(O)C1c2ccccc2Oc2ccccc21
CN(C)C#N	-0.21	-0.27	0.53	2.39		logS	CN(C)C#N
CN(C)C(=S)NN	-0.51	-0.97	0.52	0.81			CN(C)C(=S)NN
CC(C(=O)O)c1ccc(c2nc3c(s2)CCCC3)cc1	4.40	-4.75	0.61	0.84			CC(C(=O)O)c1ccc(-c2nc3c(s2)CCCC3)cc1
CC(C)C(=O)NC(N)=O	-0.08	-0.58	0.34	0.90			CC(C)C(=O)NC(N)=O
O=C(Nc1ccccc1)NC2CC(O)C(CO)OC2O	-0.57	-1.28	0.60	1.16			O=C(Nc1ccccc1)NC1CC(O)C(CO)OC1O
Cc1cccc(C(N)=O)c1	0.84	-1.73	0.31	0.84			Cc1cccc(C(N)=O)c1
CCC(=O)C(CS(=O)(=O)c1ccccc1)c2ccc(OC)cc2	2.33	-4.77	0.34	1.51			CCC(=O)C(CS(=O)(=O)c1ccccc1)c1ccc(OC)cc1
CCNC(=S)Nc1ccccc1	1.50	-2.75	0.35	1.23			CCNC(=S)Nc1ccccc1
CC(=O)N=C1NCCS1	0.01	-1.00	0.70	1.28			CC(=O)N=c1[nH]ccs1
CCN=C1NC(SC)NC(=NC(C)(C)C)N1	1.24	-2.35	0.78	2.39		logS	CCN=c1[nH]c(SC)nc(=NC(C)(C)C)[nH]1
NS(=O)(=O)c1cc3c(cc1Cl)N=C(Cc2ccccc2)NS3(=O)=O	1.67	-4.06	0.33	0.84			NS(=O)(=O)c1cc2c(cc1Cl)N=C(Cc1ccccc1)NS2(=O)=O
COc1ccccc1SCc2ccccc2CCCN3CCC(O)CC3	3.91	-5.85	0.35	1.36			COc1ccccc1SCc1ccccc1CCCN1CCC(O)CC1
O=NN1CCCCCCCC1	2.04	-1.75	0.34	0.91			O=NN1CCCCCCCC1
COC(=O)c1ncccn1	-0.03	-0.13	0.35	0.85			COC(=O)c1ncccn1
CC(C)CC(CC(C)C)OC(=O)c1ccc(NC(=O)N(C)C)cc1Cl	4.98	-4.95	0.32	0.94			CC(C)CC(CC(C)C)OC(=O)c1ccc(NC(=O)N(C)C)cc1Cl
CCCc1cccc(c2c[nH]c(SCCc3c[nH]cn3)n2)c1	4.14	-4.95	0.38	1.29			CCCc1cccc(-c2c[nH]c(SCCc3c[nH]cn3)n2)c1
CC1CN(C(=O)c2cc(c3ccc5c(c3)OCO5)nc4ccccc24)CC(C)O1	3.48	-3.59	0.82	1.47			CC1CN(C(=O)c2cc(-c3ccc4c(c3)OCO4)nc3ccccc23)CC(C)O1
Cc1ccc(CN2C(=O)C(C=C3CC=CCC3)SC2=S)cc1	4.20	-5.27	0.68	0.92			Cc1ccc(CN2C(=O)C(C=C3CC=CCC3)SC2=S)cc1
NCCCO	-1.01	0.97	0.37	0.69			NCCCO
O=C(O)CCC(=O)c1ccc(c2ccccc2)cc1	3.07	-4.32	0.36	1.10			O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
CC1CC2C3CC(F)=C4CC(=O)C(Cl)=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO	2.37	-4.15	0.49	1.07			CC1CC2C3CC(F)=C4CC(=O)C(Cl)=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
CCc1ccc(NC(C)=O)cc1	1.82	-2.51	0.31	0.90			CCc1ccc(NC(C)=O)cc1
COc1ccc(C(N)=S)cc1	1.69	-2.19	0.41	0.86			COc1ccc(C(N)=S)cc1
O=C1CC(c2ccccc2)Oc3ccccc13	3.10	-4.29	0.62	1.17			O=C1CC(c2ccccc2)Oc2ccccc21
CCC(=O)N(C)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2	2.92	-3.36	0.61	1.74			CCC(=O)N(C)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2
CN(O)N=Nc1ccc(C(N)=O)cc1	0.96	-2.63	0.64	2.39		logS	CN(O)N=Nc1ccc(C(N)=O)cc1
CCN=C1NC(OC)NC(=NC(C)C)N1	0.16	-2.23	0.68	1.71			CCN=c1[nH]c(OC)nc(=NC(C)C)[nH]1
error in COC(=O)Nc1ccccc1Cl.Nc1ccc(Oc2ccccc2)cc1 Can't do disconnected structures.
C#CCOc1c(Cl)cc(N=CNOCOC)cc1Cl	2.46	-4.34	0.76	2.39		logS	C#CCOc1c(Cl)cc(N=CNOCOC)cc1Cl
S=C=NCc1cccc2ccccc12	4.42	-4.56	0.31	0.62			S=C=NCc1cccc2ccccc12
CCCCCCN(=O)=O	2.50	-2.14	0.33	1.02			CCCCCC[N+](=O)[O-]
CC(=O)Nc1c(F)c(F)c(F)c(F)c1F	2.29	-2.98	0.47	1.11			CC(=O)Nc1c(F)c(F)c(F)c(F)c1F
COC(=O)c1ccc(C)cc1	2.47	-2.51	0.30	0.90			COC(=O)c1ccc(C)cc1
CCCC(=NOCC)C1C(=O)CC2(CCC(C)CC2)OC1=O	3.90	-4.34	0.35	1.46			CCCC(=NOCC)C1C(=O)CC2(CCC(C)CC2)OC1=O
CC(C)OC(=O)CSc1ccc(N(=O)=O)cc1	2.73	-3.82	0.33	1.45			CC(C)OC(=O)CSc1ccc([N+](=O)[O-])cc1
CN=C1SC(=Cc2ccc(N(=O)=O)o2)C(=O)N1C	1.66	-3.24	0.61	2.39		logS	CN=C1SC(=Cc2ccc([N+](=O)[O-])o2)C(=O)N1C
Cc1cc(OCCN(C)C)c(C(C)C)cc1O	2.86	-1.99	0.60	1.33			Cc1cc(OCCN(C)C)c(C(C)C)cc1O
CN(C)N=Nc1cc(C(N)=O)cc(C(N)=O)c1	0.26	-2.77	0.53	1.19			CN(C)N=Nc1cc(C(N)=O)cc(C(N)=O)c1
O=C(COc1ccc(OCCNCC(O)COc3ccccc3)cc1)N2CCc4ccccc4C2	3.21	-4.79	0.52	1.31			O=C(COc1ccc(OCCNCC(O)COc2ccccc2)cc1)N1CCc2ccccc2C1
O=C1Nc2c(O)ccc(CCNCCCS(=O)(=O)NCCOCCc3ccc(F)cc3)c2S1	2.06	-4.43	0.64	1.25			O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)NCCOCCc3ccc(F)cc3)c2s1
O=C(NP(=O)(N1CC1)N2CC2)c3ccccc3	0.67	-1.02	0.34	2.39		logS	O=C(NP(=O)(N1CC1)N1CC1)c1ccccc1
O=N(=O)c1cccc(Cl)c1Cl	3.05	-3.60	0.31	1.07			O=[N+]([O-])c1cccc(Cl)c1Cl
C=CCOc1ccccc1OCC(O)CNC(C)C	2.44	-2.59	0.37	1.42			C=CCOc1ccccc1OCC(O)CNC(C)C
CCCOc1ccc(NC(=O)OCCN2CCCCC2)cc1	3.98	-3.19	0.30	1.06			CCCOc1ccc(NC(=O)OCCN2CCCCC2)cc1
CC(C)OC(=O)n1cnc(CC(NC(=O)C2=CCC(=O)N2)C(O)N3CCCC3C(N)=O)c1	0.09	-2.60	0.68	0.94			CC(C)OC(=O)n1cnc(CC(NC(=O)C2=CCC(=O)N2)C(O)N2CCCC2C(N)=O)c1
COc1cc2CCC(=NC(C)=O)C3C(c2c(OC)c1OC)CCC(N)C(=O)C3	1.62	-3.83	0.74	1.21			COc1cc2ccc(=NC(C)=O)c3c(c2c(OC)c1OC)CCC(N)C(=O)C3
CC=CC(C)=O	1.48	-0.42	0.61	0.74			CC=CC(C)=O
Brc1ccoc1	1.97	-1.28	0.71	0.83			Brc1ccoc1
CN=C1CC(=O)c2ccccc2C1=O	1.40	-2.91	0.72	2.39		logS	CN=C1CC(=O)c2ccccc2C1=O
CCOc1ccc(NC(=O)OC2CCCC2)cc1OCC	3.73	-3.59	0.74	1.17			CCOc1ccc(NC(=O)OC2CCCC2)cc1OCC
CC(=O)Nc1ccc(I)cc1	2.23	-3.33	0.30	1.26			CC(=O)Nc1ccc(I)cc1
CCOC(=O)C(C#N)=NNc1ccc(Cl)c(Cl)c1	4.45	-4.16	0.30	2.39		logS	CCOC(=O)C(C#N)=NNc1ccc(Cl)c(Cl)c1
CCOCc1ccccc1NC(=O)OCCN2CCCCC2	3.48	-3.10	0.34	1.07			CCOCc1ccccc1NC(=O)OCCN1CCCCC1
CC1C(O)C(=O)CCN1C(C)C	0.28	0.57	0.75	0.94			Cc1c(O)c(=O)ccn1C(C)C
Nc1ccc(S(=O)(=O)N=C2NCCCN2)cc1	-0.00	-2.22	0.71	2.39		logS	Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1
CC(C)C(N)Cc1ccccc1	2.33	-2.78	0.46	0.99			CC(C)C(N)Cc1ccccc1
CN1C(=O)NC2NC(=O)NC2C1=O	-2.02	-1.30	0.63	0.76			Cn1c(=O)[nH]c2[nH]c(=O)[nH]c2c1=O
CCN(CC)S(=O)(=O)c1ccc2nnn(OCC(=O)NC(c3ccccc3)c4ccccc4)c2c1	3.21	-4.95	1.20	2.39	logP	logS	CCN(CC)S(=O)(=O)c1ccc2nnn(OCC(=O)NC(c3ccccc3)c3ccccc3)c2c1
CCOCCCl	1.27	-0.63	0.58	1.15			CCOCCCl
Cc1cccc(C)c1C(=N)c2ccccc2	3.59	-4.92	0.30	0.89			Cc1cccc(C)c1C(=N)c1ccccc1
COC(=O)C1(S(=O)(=O)c2ccccc2)CCCCC1	2.29	-3.39	0.34	1.49			COC(=O)C1(S(=O)(=O)c2ccccc2)CCCCC1
CCOC(=O)NC1=NCC(c2cccc(C)c2C)N1C	2.45	-2.97	0.49	0.92			CCOC(=O)NC1=NCC(c2cccc(C)c2C)N1C
Cc1c(CNc2ccccc2)cnc3NC(=N)NC(=N)c13	1.72	-3.40	0.63	1.40			Cc1c(CNc2ccccc2)cnc2[nH]c(=N)[nH]c(=N)c12
CC(CSC(=O)c1ccccc1)C(=O)N2CC(Sc3ccccc3)CC2C(=O)O	3.64	-5.14	0.77	1.68			CC(CSC(=O)c1ccccc1)C(=O)N1CC(Sc2ccccc2)CC1C(=O)O
N=C1NCNc2ncn(C(c3ccccc3)c4ccccc4)c12	2.30	-3.25	0.80	0.81			N=c1[nH]cnc2ncn(C(c3ccccc3)c3ccccc3)c12
CCC(NS(=O)(=O)c1ccc(C)cc1)C(=O)Oc2ccc3C4C(C(=O)Oc3c2)CCCC4	3.64	-5.69	0.67	1.45			CCC(NS(=O)(=O)c1ccc(C)cc1)C(=O)Oc1ccc2c3c(c(=O)oc2c1)CCCC3
N=C1NC(C(F)(F)F)(C(F)(F)F)NC1(C(F)(F)F)C(F)(F)F	3.56	-4.43	0.42	1.46			N=C1NC(C(F)(F)F)(C(F)(F)F)NC1(C(F)(F)F)C(F)(F)F
CN(C)CC(=O)NCc1ccccc1	0.86	-1.76	0.42	0.74			CN(C)CC(=O)NCc1ccccc1
N#CCN(CC#N)N=O	-0.39	-1.34	0.33	0.79			N#CCN(CC#N)N=O
COc1ccc(C(=O)c2ccncc2)cc1	1.96	-2.12	0.31	1.10			COc1ccc(C(=O)c2ccncc2)cc1
OCC1CC1c2ccccc2	2.31	-1.92	0.69	1.52			OCC1CC1c1ccccc1
CCCCCCCN	2.57	-1.84	0.33	0.75			CCCCCCCN
CCc1cccc(C2C(=O)c3ccccc3C2=O)c1	3.99	-4.83	0.31	1.29			CCc1cccc(C2C(=O)c3ccccc3C2=O)c1
CC(=O)c1c(C)n(C)c2ccccc12	2.22	-2.70	0.34	1.09			CC(=O)c1c(C)n(C)c2ccccc12
CCCC(=O)N(CSP(=S)(OC)OC)c1ccccc1Cl	3.99	-5.55	0.34	0.69			CCCC(=O)N(CSP(=S)(OC)OC)c1ccccc1Cl
CCS(=O)c1nc(C)c(N(=O)=O)c(C)c1C#N	2.00	-1.79	0.49	1.36			CCS(=O)c1nc(C)c([N+](=O)[O-])c(C)c1C#N
O=C(O)c1cc(N(=O)=O)ccc1O	1.87	-1.91	0.33	0.86			O=C(O)c1cc([N+](=O)[O-])ccc1O
O=N(=O)c1ccc(N2CCCCC2)cc1	3.37	-2.41	0.71	1.53			O=[N+]([O-])c1ccc(N2CCCCC2)cc1
COC(=O)c1ccc(Cl)cc1	2.66	-2.74	0.30	1.02			COC(=O)c1ccc(Cl)cc1
C1=CC=CCC=C1	2.74	-2.44	0.35	1.00			C1=CC=CCC=C1
O=Cc1ccccn1	0.54	0.25	0.39	0.78			O=Cc1ccccn1
CNC(=O)NS(=O)(=O)c1ccc(C)cc1	0.76	-2.40	0.36	0.86			CNC(=O)NS(=O)(=O)c1ccc(C)cc1
Cc1ccc(N2CN3C(Nc4ccccc4C3=O)C2C)cc1	2.52	-3.08	0.73	1.50			Cc1ccc(N2Cn3c(nc4ccccc4c3=O)C2C)cc1
O=C(NC1CC1)c2ccc(COc3c(F)c(F)cc(F)c3F)o2	2.95	-3.66	0.66	0.91			O=C(NC1CC1)c1ccc(COc2c(F)c(F)cc(F)c2F)o1
COc1cc(Cl)c(Cl)c(Cl)c1O	3.81	-2.85	0.31	0.82			COc1cc(Cl)c(Cl)c(Cl)c1O
O=C1c2ccccc2C(=O)C1(O)O	0.84	-0.28	0.66	1.06			O=C1c2ccccc2C(=O)C1(O)O
CC(=O)OC1CCCC(NC(=O)N(CCF)N=O)C1	1.30	-2.82	0.64	2.39		logS	CC(=O)OC1CCCC(NC(=O)N(CCF)N=O)C1
CC1CCCC(c2ccccc2)(N3CCCCC3)C1	5.51	-5.66	0.30	1.35			CC1CCCC(c2ccccc2)(N2CCCCC2)C1
CN(C)C(=O)OCc1ccc(I)cc1	2.62	-3.40	0.59	1.15			CN(C)C(=O)OCc1ccc(I)cc1
CCC1C(O)C(=O)CCN1C(C)C	0.76	0.25	0.62	1.22			CCc1c(O)c(=O)ccn1C(C)C
error in CCN(CC)C(=O)SCc1ccccc1Cl.COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1-n1cccc1 Can't do disconnected structures.
Oc1c(Cl)cc(Cl)c2ccccc12	4.36	-3.86	0.38	1.48			Oc1c(Cl)cc(Cl)c2ccccc12
Cc1ccc2nc3SC(=O)Sc3nc2c1	2.57	-2.67	0.76	1.59			Cc1ccc2nc3sc(=O)sc3nc2c1
O=C1c2ccccc2Cc3ccccc13	3.57	-4.30	0.52	1.26			O=C1c2ccccc2Cc2ccccc21
COCCNC(=S)C(F)(F)Cn1cnc(N(=O)=O)n1	0.85	-4.25	0.31	1.37			COCCNC(=S)C(F)(F)Cn1cnc([N+](=O)[O-])n1
Cc1nonc1c2ccccc2	2.60	-1.88	0.41	0.85			Cc1nonc1-c1ccccc1
O=C1c3ccccc3C(=O)C1c2cccc(Cl)c2	3.66	-4.63	0.30	1.27			O=C1c2ccccc2C(=O)C1c1cccc(Cl)c1
CCSCC1=NS(=O)(=O)c2ccc(Cl)cc2N1	2.64	-3.49	0.70	2.39		logS	CCSCC1=NS(=O)(=O)c2ccc(Cl)cc2N1
CN(C(=O)c1c(F)c(F)c(F)c(F)c1F)C(C)(C)C	3.07	-3.39	0.41	1.93			CN(C(=O)c1c(F)c(F)c(F)c(F)c1F)C(C)(C)C
O=N(=O)c1ccco1	1.17	-1.44	0.66	0.87			O=[N+]([O-])c1ccco1
C1=CCOC1	0.48	-0.10	0.55	1.02			C1=CCOC1
CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC	1.14	-3.12	0.51	1.03			CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC
Clc1cccc(c2c(Cl)cc(Cl)c(Cl)c2Cl)c1Cl	7.28	-8.32	0.30	0.60			Clc1cccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c1Cl
CCNC(=O)c1ccccc1	1.27	-1.74	0.45	0.61			CCNC(=O)c1ccccc1
